Expected Capacity Factor (dimensionless),2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527,0.6527
natural gas nonpeaker,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921,0.616921
nuclear,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597,0.772597
hydro,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336,0.28336
onshore wind,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296,0.325296
solar PV,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851,0.255851
solar thermal,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236
biomass,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618
geothermal,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172,0.774172
petroleum,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765
natural gas peaker,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995,0.25995
lignite,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264,0.376264
offshore wind,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689,0.480689
crude oil,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765
heavy or residual fuel oil,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765,0.590765
municipal solid waste,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654
