Unnamed: 0,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
hard coal,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.251082,0.597403,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.151515,0.0,0,0,0,0
natural gas nonpeaker,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.060604,0.4182,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.521196,0.0,0,0,0,0
nuclear,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
hydro,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.289769,0.217056,0,0.0,0.0,0.0,0.0,0,0,0,0,0.312516,0,0.180658,0.0,0,0,0,0
wind,0,0,0,0,0,0,0,0,0,0.009577,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.54553,0.119389,0,0.0,0.0,0.086808,0.0,0,0,0,0,0.184176,0,0.009577,0.044942,0,0,0,0
solar PV,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.646493,0.0,0,0.0,0.353507,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
solar thermal,0,0,0,0,0,0,0,0,0,0.0,0.017192,0,0,0,0,0,0,0,0,0,0,0,0,0.422777,0.416156,0,0.066214,0.0,0.0,0.0,0,0,0,0,0.0,0,0.077662,0.0,0,0,0,0
biomass,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
geothermal,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.583458,0.313574,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.102969,0.0,0,0,0,0
petroleum,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.060604,0.4182,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.521196,0.0,0,0,0,0
natural gas peaker,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.060604,0.4182,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.521196,0.0,0,0,0,0
lignite,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.251082,0.597403,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.151515,0.0,0,0,0,0
offshore wind,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.505703,0.131046,0,0.0,0.064103,0.0,0.199432,0,0,0,0,0.0,0,0.099716,0.0,0,0,0,0
crude oil,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.060604,0.4182,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.521196,0.0,0,0,0,0
heavy or residual fuel oil,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.060604,0.4182,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.521196,0.0,0,0,0,0
municipal solid waste,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
